-0.680	-0.081	-129.60
-0.598	-0.059	-123.83
-0.498	-0.035	-113.85
-0.383	-0.013	-99.41
-0.256	0.007	-80.65
-0.121	0.021	-58.51
0.017	0.028	-34.98	
0.151	0.027	-12.0
0.279	0.020	9.24
0.395	0.008	28.09	
0.497	-0.009	44.24
0.584	-0.029	57.73
0.653	-0.050	68.71
0.704	-0.070	77.06
0.736	-0.089	82.88
0.750	-0.106	86.29
0.744	-0.118	87.33
0.719	-0.127	85.92
0.675	-0.130	81.91
0.612	-0.128	75.13
0.530	-0.120	65.50
0.432	-0.106	52.73
0.318	-0.088	36.64
0.192	-0.066	17.33
0.056	-0.042	-4.69
-0.083	-0.019	-28.22
-0.222	0.001	-51.02
-0.354	0.017	-71.16
-0.476	0.027	-87.79
-0.583	0.031	-100.71
-0.674	0.028	-110.01
-0.747	0.020	-116.02
-0.802	0.008	-119.05
-0.837	0.008	-119.28
-0.853	-0.027	-116.93
-0.850	-0.047	-112.20
-0.828	-0.066	-105.16
-0.788	-0.085	-95.82
-0.730	-0.101	-84.13
-0.654	-0.113	-69.99
-0.563	-0.121	-53.64
-0.458	-0.124	-35.11
-0.340	-0.120 	-14.36
-0.213	-0.111	8.23
-0.081	-0.095	31.90
0.053	-0.075	55.40
0.182	-0.051	76.66
0.302	-0.028	93.64
0.408	-0.005	105.52
0.490	0.013	112.44
0.570	0.027	114.87
