#-0.853	-0.027	-116.93
#-0.850	-0.047	-112.20
#-0.828	-0.066	-105.16
#-0.788	-0.085	-95.82
#-0.730	-0.101	-84.13
-0.654	-0.113	-69.99
-0.563	-0.121	-53.64
-0.458	-0.124	-35.11
-0.340	-0.120 	-14.36
-0.213	-0.111	8.23
-0.081	-0.095	31.90
0.053	-0.075	55.40
0.182	-0.051	76.66
0.302	-0.028	93.64
0.408	-0.005	105.52
#0.490	0.013	112.44
