-0.680000	-0.081000	-129.600000	Near
-0.641027	-0.070477	-127.192332	Near
-0.597075	-0.058758	-123.750773	Near
-0.548539	-0.046544	-119.234527	Near
-0.495816	-0.034532	-113.602803	Near
-0.439290	-0.023215	-106.824463	Near
-0.379310	-0.012354	-98.902644	Near
-0.316261	-0.001808	-89.866994	Near
-0.250673	0.007701	-79.810416	Near
-0.183096	0.015486	-68.877878	Near
-0.114043	0.021529	-57.336814	Near
-0.044190	0.025847	-45.473101	Near
0.025273	0.028161	-33.555884	Near
0.093414	0.028320	-21.822696	Near
0.160296	0.026678	-10.431074	Near
0.225800	0.023594	0.491179	Near
0.288882	0.019217	10.858164	Near
0.348632	0.013599	20.600255	Near
0.404857	0.006644	29.671436	Near
0.457491	-0.001635	38.043265	Near
0.506515	-0.010920	45.720292	Near
0.551738	-0.020890	52.719461	Near
0.592577	-0.031325	59.074642	Near
0.628656	-0.041975	64.799885	Near
0.660154	-0.052494	69.862696	Near
0.687132	-0.062664	74.244328	Near
0.709272	-0.072547	77.965274	Near
0.726470	-0.082200	81.047451	Near
0.739098	-0.091605	83.506626	Near
0.747242	-0.100485	85.355202	Near
0.750385	-0.108117	86.600693	Near
0.748277	-0.114283	87.243250	Far
0.741228	-0.119692	87.271354	Far
0.729429	-0.124521	86.670235	Far
0.712796	-0.127964	85.421648	Far
0.691290	-0.129649	83.502946	Far
0.664978	-0.130001	80.885522	Far
0.633827	-0.129197	77.553466	Far
0.597654	-0.126966	73.509442	Far
0.556642	-0.123111	68.735220	Far
0.511476	-0.117594	63.182205	Far
0.462400	-0.110584	56.810638	Far
0.409057	-0.102498	49.595545	Far
0.351623	-0.093500	41.527521	Far
0.290966	-0.083425	32.615917	Far
0.227499	-0.072318	22.894648	Far
0.161077	-0.060492	12.426192	Far
0.092266	-0.048323	1.306351	Far
0.022430	-0.036233	-10.330120	Far
-0.047753	-0.024577	-22.253251	Far
-0.118341	-0.013630	-34.136087	Far
-0.188703	-0.003536	-45.678920	Far
-0.257514	0.005675	-56.618039	Far
-0.324111	0.013770	-66.776223	Far
-0.388463	0.020333	-76.059011	Far
-0.450042	0.025279	-84.413237	Far
-0.507879	0.028811	-91.820840	Far
-0.561615	0.030765	-98.278777	Far
-0.611394	0.030706	-103.797139	Far
-0.657021	0.028958	-108.408324	Far
-0.698033	0.026378	-112.162241	Far
-0.734368	0.022312	-115.105265	Far
-0.766244	0.015298	-117.279582	Far
-0.793450	0.008827	-118.712477	Far
-0.815496	0.009078	-119.421055	Far
-0.832377	0.010062	-119.430531	Far
-0.844413	-0.001274	-118.771822	Far
-0.851689	-0.021215	-117.474969	Far
-0.854131	-0.036071	-115.568132	Far
-0.851689	-0.044652	-113.065870	Far
-0.844346	-0.053193	-109.973984	Far
-0.832223	-0.063151	-106.295138	Near
-0.815510	-0.073173	-102.030062	Near
-0.794267	-0.082648	-97.177924	Near
-0.768471	-0.091400	-91.734942	Near
-0.738018	-0.099264	-85.678464	Near
-0.702815	-0.106088	-78.982303	Near
-0.663235	-0.111864	-71.674380	Near
-0.619839	-0.116639	-63.805168	Near
-0.572832	-0.120382	-55.389082	Near
-0.522248	-0.122980	-46.421841	Near
-0.468118	-0.124020	-36.887884	Near
-0.410526	-0.123071	-26.773527	Near
-0.349932	-0.120511	-16.112797	Near
-0.286952	-0.116911	-4.964163	Near
-0.222178	-0.111867	6.586373	Near
-0.156149	-0.104764	18.436731	Near
-0.089107	-0.096101	30.453661	Near
-0.021305	-0.086627	42.475792	Near
0.046297	-0.076128	54.247697	Near
0.112584	-0.064273	65.479199	Near
0.176947	-0.051965	75.873568	Near
0.238989	-0.040238	85.158721	Near
0.298512	-0.028704	93.199167	Near
0.355000	-0.016814	99.920168	Near
0.406109	-0.005427	105.330381	Near
0.449956	0.004428	109.468169	Near
0.489234	0.012844	112.393410	Near
0.527922	0.020231	114.172041	Near
0.570000	0.027000	114.870000	Near
